head,acc,f1,auc,train_t,test_t
Linear Probe,0.2985739750445633,0.24094929610947646,0.6347927912630803,93.3,0.027
MLP,0.26916221033868093,0.23012196932754825,0.6000047381638615,47.91,0.024
SVM (RBF),0.2785204991087344,0.20666887287672195,0.6042176705306138,357.96,22.956
Decision Tree,0.26871657754010697,0.2423709700907906,0.5772923931232691,16.16,0.002
Random Forest,0.29010695187165775,0.27914913286129195,0.630810663054218,18.17,0.046
