head,acc,f1,auc,train_t,test_t
Linear Probe,0.45499108734402854,0.4752945254095715,0.7902485175545274,36.66,0.023
MLP,0.535204991087344,0.5612160150277296,0.830119439877499,25.21,0.011
SVM (RBF),0.5441176470588235,0.5814492637214326,0.8459466956835197,281.39,21.116
Decision Tree,0.30392156862745096,0.2932933716160931,0.5926898684303765,15.69,0.002
Random Forest,0.4090909090909091,0.3790986268262584,0.7561782959842512,13.24,0.046
