head,acc,f1,auc,train_t,test_t
Linear Probe,0.30124777183600715,0.24238935846128862,0.6479111096893192,102.61,0.014
MLP,0.31595365418894833,0.30958370755919623,0.6624092579151836,82.21,0.016
SVM (RBF),0.27228163992869875,0.1985084145942466,0.6184051540278145,501.78,28.962
Decision Tree,0.28654188948306597,0.2731164158459391,0.5964174731105497,16.26,0.002
Random Forest,0.35873440285204994,0.355408500557378,0.6893784426984818,16.97,0.063
